	Alphitonia.philippinensis..1.	Berchemia.floribunda..2.	Berchemia.giraldiana..3.	Berchemia.hirtella..4.	Berchemia.huana..5.	Berchemia.kulingensis..6.	Berchemia.lineata..7.	Berchemia.loureiroana..8.	Berchemia.sinica..9.	Berchemia.yunnanensis..10.	Ceanothus.asiaticus..11.	Colubrina.arborescens..12.	Colubrina.asiatica..13.	Colubrina.pubescens..14.	Colubrina.spinosa..15.	Gouania.hypoglauca..19.	Gouania.leptostachya..16.	Gouania.leptostachya..18.	Gouania.polygama..20.	Guoania.javanica..17.	Hovenia.acerba..21.	Hovenia.acerba.var..kiukiangensis..22.	Karwinskia.calderonii..23.	Krugiodendron.ferreum..24.	Paliurus.perforatus..25.	Rhamnella.franguloides..26.	Rhamnella.tonkinensis..27.	Rhamnus.crenata..28.	Rhamnus.davurica..29.	Rhamnus.diamantiaca..30.	Rhamnus.erythroxylon..31.	Rhamnus.globosa..32.	Rhamnus.hainanensis..33.	Rhamnus.koraiensis..34.	Rhamnus.leptophylla..35.	Rhamnus.longipes..36.	Rhamnus.napalensis..37.	Rhamnus.oreodendron..38.	Rhamnus.parvifolia..39.	Rhamnus.rosthornii..40.	Rhamnus.sphaerosperma..41.	Rhamnus.subapetala..42.	Rhamnus.utilis..43.	Sageretia.pauciflora..44.	Sageretia.thea..45.	Scutia.eberhardtia..46.	Scutia.myrtina..47.	Ventilago.calyculata..48.	Ventilago.calyculata.var..trichoclada..49.	Ventilago.cristata..50.	Ventilago.denticulate..51.	Ventilago.inaequilateralis..52.	Ventilago.leiocarpa..53.	Ventilago.leiocarpa.var..pubescens..54.	Ventilago.maderaspatana..55.	Ventilago.oblongifolia..56.	Ventilago.pauciflora..57.	Ziziphus.apetala..58.	Ziziphus.attopensis..59.	Ziziphus.cambodiana..60.	Ziziphus.funiculosa..61.	Ziziphus.guatemalensis..62.	Ziziphus.horsfieldii..63.	Ziziphus.incurva..64.	Ziziphus.mauritiana..65.	Ziziphus.oenopolia..66.	Ziziphus.poilaneo..67.	Ziziphus.rotundifolia..68.	Ziziphus.rugosa..69.	Ziziphus.rugosa.var..harmandii..70.	Ziziphus.thyrsiflora..71.
Alphitonia.philippinensis..1.	0	0.506996952355042	0.501196531763333	0.545086138842225	0.559693653924423	0.566642055317269	0.497892628205128	0.570205373617284	0.570536036571104	0.627515754317692	0.258420275161347	0.556454692031615	0.264519048908189	0.345858701506219	0.136742391696686	0.105903071287687	0.104237326459549	0.0610784783018252	0.157884670339662	0.308320042045113	0.329133920168988	0.0762701599377424	0.511914645183876	0.479275771384525	0.590721494668108	0.321369482872766	0.506015501592425	0.534114905749521	0.606983555380991	0.564165272343306	0.629717081930856	0.575267898451659	0.538865209106409	0.569958452287915	0.663885390018292	0.576043527580007	0.613108350264221	0.514952275288814	0.581731644423952	0.326821735956351	0.524319550108012	0.573398054936516	0.604868658508768	0.583472785363268	0.653930759638616	0.200685971422546	0.512044057412256	0.564018777761742	0.547785641447337	0.569267682418135	0.572637999973165	0.551166593329396	0.611684395805008	0.558473016096642	0.486304133148662	0.556366849555952	0.603195439635051	0.119470852183192	0.246541031584601	0.239842874946204	0.475525896379262	0.16365597998441	0.231808418907778	0.102318517762815	0.0867583282049413	0.218799367977921	0.247521046676948	0.113687100033254	0.100755313544498	0.229160996305023	0.134459565459733
Berchemia.floribunda..2.	0.506996952355042	0	0.0297297842306917	0.107655531537024	0.125439279749625	0.102505625494131	0.118687055281883	0.0988311527799848	0.107994596305955	0.219456188666072	0.406769611580264	0.353063682805062	0.338828788220269	0.28538830343719	0.620062018158121	0.442012122354124	0.450327393622413	0.484837132742456	0.64095995062246	0.25712723077027	0.205809843094326	0.4925775080147	0.156615290839429	0.218787629994527	0.181283341094201	0.28140293964516	0.223230332885505	0.152732580318787	0.223212419764144	0.142427660126736	0.265386133068571	0.184825153560786	0.14243550137764	0.146556737167505	0.281693622974777	0.139760338902714	0.163711673820567	0.101815569487983	0.156735582425238	0.266835535154501	0.119621510673235	0.185255510772752	0.184618012503305	0.17382807789003	0.283432272803146	0.608032293377121	0.109099060612938	0.14182241535059	0.250858112812722	0.182290962361956	0.154738146363762	0.178190161279439	0.167688023764355	0.135318437719916	0.152177914228667	0.158509700176367	0.187557867706111	0.41668476897464	0.288671180127942	0.300774657092207	0.159101683657179	0.603830629396734	0.297954106610716	0.505039682539683	0.448164622971622	0.311763077385936	0.270242952406022	0.44404247843903	0.434989927610488	0.325483876602732	0.484241263387853
Berchemia.giraldiana..3.	0.501196531763333	0.0297297842306917	0	0.108274272178336	0.114562795878585	0.107344054580897	0.127703634085213	0.109872126552941	0.105817402984586	0.221592564087384	0.396532812686478	0.346318004607478	0.321542418136845	0.272108118397259	0.614261597566412	0.434944259555994	0.444282001299545	0.479036712150747	0.635159530030751	0.237105753065792	0.189744070142677	0.487174633011099	0.145235247208931	0.20437256935442	0.166698088504844	0.268456507121462	0.205475051264525	0.143834744690008	0.219095212779423	0.14246132944044	0.27109984262983	0.189382716049383	0.144323945456862	0.147287105341971	0.286757818639007	0.141576126742974	0.17483709273183	0.105203349282297	0.150954374572796	0.252567498291182	0.119434837092732	0.190015948963317	0.189273438698788	0.172857142857143	0.281563172114684	0.60577694235589	0.106028078325896	0.130975711636816	0.236957913491211	0.170391419725785	0.140608480909233	0.172391938750987	0.157522690220697	0.12516201217329	0.130887724004848	0.148875893437297	0.18561684585295	0.411546444235589	0.286656174942565	0.293303220738413	0.146189236111111	0.598675500194418	0.296457869210062	0.493713954426296	0.442364202379913	0.30807641343978	0.263804629257622	0.438621384542437	0.432168218164459	0.317491867967792	0.479086134185537
Berchemia.hirtella..4.	0.545086138842225	0.107655531537024	0.108274272178336	0	0.110376449616956	0.114356037773759	0.171321328109303	0.113611726846721	0.109115263545643	0.240470752073712	0.441254188911852	0.344824678368982	0.363236229794309	0.295157725537472	0.668075051064493	0.477269744101556	0.487394700808906	0.526871092405181	0.685830789717808	0.277845000582928	0.244587258250698	0.523645160595884	0.158865325953934	0.229527031240257	0.165084163270447	0.309011697711914	0.229890770270517	0.162907252147758	0.231501878337321	0.165671780913853	0.27114681021069	0.217299131560735	0.174254962658739	0.180909589773335	0.293811135182234	0.179650775008337	0.189162806806045	0.127875842511918	0.189893099165251	0.287981875719217	0.166478501105083	0.224262151350759	0.205074208706991	0.201827218765644	0.294042916565136	0.652313756487389	0.167429443733859	0.0899142764031619	0.226817134328113	0.153590560696853	0.14457073968828	0.13661734389149	0.170078184893227	0.107768951462442	0.158428489360919	0.0881286557051325	0.198451381025615	0.451583656346974	0.333075526327356	0.336694128813437	0.196962668901949	0.645334899986944	0.354499307927578	0.529032030097067	0.493515332219753	0.331275855691146	0.33313532325031	0.487832624668068	0.463628329413044	0.364721922973337	0.525695776993384
Berchemia.huana..5.	0.559693653924423	0.125439279749625	0.114562795878585	0.110376449616956	0	0.0910751028806584	0.179442918192918	0.0996402641563932	0.0985157952069717	0.20966792211871	0.450564258823187	0.341448828948829	0.370279992338816	0.310577116273319	0.682682566146692	0.492797760830548	0.502002215891105	0.544627505373119	0.700438304800007	0.285939078068708	0.253855730326319	0.540417248095819	0.158441095941096	0.227908912607188	0.103559658970107	0.29800172727002	0.203548904798905	0.142828005328005	0.197502497502497	0.134483161931616	0.250333645682483	0.183931623931624	0.165906127770535	0.158020019812473	0.24999214207135	0.164265941198931	0.173784461152882	0.150373237873238	0.148560791060791	0.285812567062567	0.14718660968661	0.21039627039627	0.168900340966668	0.15900229713789	0.230471665844006	0.678908355795148	0.169120581315703	0.0982230957840714	0.21184132383112	0.146990740740741	0.104090354090354	0.150380029660852	0.137322925187003	0.0979090354090354	0.167779253870803	0.105679775471442	0.146999418027455	0.489231129595713	0.360633720301689	0.35887655738402	0.177391286375661	0.659942415069143	0.378105073938407	0.560679094213577	0.519476336267381	0.363718238469894	0.340376459842109	0.515098367598368	0.50227028958232	0.391879475922029	0.547276585213266
Berchemia.kulingensis..6.	0.566642055317269	0.102505625494131	0.107344054580897	0.114356037773759	0.0910751028806584	0	0.188785273368607	0.0727039123096471	0.0562428675173773	0.164698278455934	0.456441457755942	0.388447303725082	0.389918560016599	0.326731483341891	0.68365189429589	0.506092847987201	0.508950617283951	0.548427008880225	0.704549826760228	0.305391436409955	0.256461380848636	0.546705404383976	0.194258457591791	0.258821382959314	0.148060110967795	0.335105694641602	0.256983726150393	0.17149303885415	0.175228475228475	0.0889594204743117	0.217956605553505	0.146831275720165	0.146003347980749	0.106191442140953	0.224445142926991	0.116480324894796	0.120493595098858	0.13508430869542	0.113999184971407	0.321459636042969	0.127920047031158	0.167489711934156	0.138470317580295	0.130305702527925	0.229908825013238	0.668270883941743	0.164219128633085	0.112897542335212	0.254459111687003	0.167967804405713	0.150986491462682	0.170632101986744	0.118442606576371	0.104241202653901	0.18126029841601	0.139447383891828	0.132755883015488	0.483636004556143	0.361871750532775	0.367861310730299	0.207348848104056	0.666890816461989	0.390279614932393	0.566784802043423	0.52170474786561	0.363069298932066	0.330749929318632	0.522046768991213	0.505389078958419	0.394591416813639	0.548719126175458
Berchemia.lineata..7.	0.497892628205128	0.118687055281883	0.127703634085213	0.171321328109303	0.179442918192918	0.188785273368607	0	0.167752816180236	0.180527155306567	0.279904347894013	0.369280045351474	0.324761153198653	0.323974770463741	0.290522905364677	0.598971612748238	0.42220506440281	0.439450384577699	0.478674086837464	0.620509857311719	0.275071587791495	0.204246031746032	0.48530824829932	0.164214240620491	0.236781609195402	0.215464048803601	0.27133855981417	0.230238095238095	0.173783068783069	0.227354697771364	0.206948382016037	0.291980108742463	0.222872574955908	0.197168079096045	0.22148407082959	0.301590297422599	0.208157779005073	0.22797384085213	0.14392316017316	0.223332882395382	0.249777086339586	0.165698412698413	0.241859668109668	0.235186771137026	0.211342816787732	0.296907294832827	0.583315363881402	0.130860433604336	0.197655463608207	0.280327988338192	0.198152135854342	0.200414486307343	0.225278797021092	0.208743257820928	0.177348119803477	0.198427788955958	0.199389329805996	0.217873275478416	0.432894345238095	0.277777467757936	0.286904984008529	0.163503224206349	0.58991553745154	0.287579365079365	0.49942614258347	0.442612557253415	0.321880551613581	0.277448200654308	0.426582609395109	0.438092142558778	0.315415294663965	0.481246555936785
Berchemia.loureiroana..8.	0.570205373617284	0.0988311527799848	0.109872126552941	0.113611726846721	0.0996402641563932	0.0727039123096471	0.167752816180236	0	0.0774319674106202	0.176239361208881	0.472025981091361	0.375189878818911	0.406466421694126	0.346883081529876	0.68577303745646	0.513523960615447	0.514257742125126	0.551805776388402	0.706670969920798	0.338974148666502	0.272458723632822	0.549862939799576	0.185266838895871	0.270714815403358	0.151248207248448	0.32591447803879	0.261728808825583	0.185504041955655	0.17926267281106	0.13042497400246	0.218652430964884	0.152615349604597	0.139166601577755	0.134778859809292	0.219683519811275	0.134128765684303	0.124005511089552	0.146508285621189	0.14159149094633	0.314614171670623	0.132911418330773	0.16080156402737	0.139342077076606	0.13240429760386	0.218165542736579	0.66651812885836	0.188160178836811	0.125001873290622	0.259864990543068	0.158839342188488	0.146028088654817	0.174825523080052	0.119636705292828	0.116704992929071	0.212208826435314	0.149669845536781	0.111864804207282	0.484172453703704	0.364436773953533	0.366997577397192	0.213786148980201	0.670036025162753	0.377267345110087	0.57339561594011	0.514464097841565	0.371984389782403	0.338803240659311	0.509947239866595	0.508487376274788	0.394701550260919	0.550446659153871
Berchemia.sinica..9.	0.570536036571104	0.107994596305955	0.105817402984586	0.109115263545643	0.0985157952069717	0.0562428675173773	0.180527155306567	0.0774319674106202	0	0.160185292402175	0.461394210461963	0.386247453526865	0.373406862745098	0.320881052843078	0.686869076230392	0.501281965427337	0.513015051699692	0.551644190814727	0.707767008694731	0.304190801835137	0.251206037970744	0.554885065137166	0.184440872308519	0.257021045966279	0.149350121474792	0.335058223831538	0.263295277707042	0.169825000707354	0.163128483716719	0.088197813489657	0.205122720922995	0.143945430023861	0.130308149625198	0.0931957216849004	0.224780055036316	0.104196566942928	0.115039600635576	0.135046190193249	0.0997093837535014	0.314900404606287	0.115934018051665	0.162065189712249	0.130985965814897	0.130163477820507	0.243539874578673	0.675480800286572	0.179455413601755	0.104716595310211	0.25658977876865	0.147058823529412	0.135270774976657	0.177839491961168	0.103531088810929	0.0934084745009115	0.185014471359749	0.112192654839714	0.136887527596708	0.480165943692292	0.365873775725568	0.373687090922604	0.211917527427638	0.670107998396491	0.380424901442058	0.567001124204471	0.524921929800112	0.359473993791777	0.336034252547499	0.525263950925716	0.495920224815072	0.403569400573468	0.551452163834966
Berchemia.yunnanensis..10.	0.627515754317692	0.219456188666072	0.221592564087384	0.240470752073712	0.20966792211871	0.164698278455934	0.279904347894013	0.176239361208881	0.160185292402175	0	0.532341576722552	0.490335062283881	0.467718495972317	0.432654205407868	0.742009217737917	0.575551263059331	0.571600077768057	0.605324873499	0.76187210641223	0.407125961106714	0.347362339511483	0.613727234988484	0.312437791866926	0.364757853544169	0.25357177834114	0.44782207102161	0.373020190657986	0.28441811724292	0.179381302084714	0.149656244644677	0.0666325139590109	0.13578302712161	0.194117048928206	0.110789806934511	0.0931199194160136	0.191156276212896	0.0950466717976042	0.252881600027269	0.119524718501096	0.425326166615537	0.206849393825772	0.181835452386633	0.0716037727426929	0.154723615056593	0.251042323167051	0.748018938670402	0.29705265500349	0.22562332147506	0.393409848003693	0.252309775616283	0.231326716028628	0.276750487524676	0.195741673067566	0.225932212342505	0.314102836617254	0.248767818953186	0.12605275976017	0.538622071112639	0.427110441761186	0.436538762878521	0.32481315812086	0.72468373048991	0.465574789262453	0.630505249343832	0.578602612484385	0.420445488602004	0.392923403658512	0.578944633609988	0.557968282630085	0.472202610312009	0.604494900746577
Ceanothus.asiaticus..11.	0.258420275161347	0.406769611580264	0.396532812686478	0.441254188911852	0.450564258823187	0.456441457755942	0.369280045351474	0.472025981091361	0.461394210461963	0.532341576722552	0	0.429310859444788	0.110688094682317	0.208390516016533	0.326753286329479	0.233604175960001	0.176357875969318	0.211402534941852	0.304737917330053	0.24062968037009	0.257734274265262	0.273171060090703	0.392817653576582	0.365621212565486	0.474459283091346	0.246288489989492	0.380952574211503	0.413045527554456	0.500623189090451	0.457218138544077	0.556351843062806	0.480864040060469	0.454306108036435	0.478313719355667	0.569971592184729	0.490968752191598	0.511672745852727	0.404791859925788	0.483968447227376	0.25275888133031	0.420580640589569	0.500299616058545	0.503819444444444	0.477520393750721	0.567535174530805	0.379023138343388	0.400461205823793	0.464778375781207	0.419243500971817	0.458328539749233	0.473705139106925	0.470317159398006	0.494651491259934	0.450183059334845	0.371705780316822	0.450391707608969	0.488422095863267	0.228493283887629	0.218876886692177	0.254223937709412	0.355954152494331	0.267198472130788	0.207292060342656	0.296299627609665	0.248297821408829	0.239049970153624	0.246565805075211	0.255174415486915	0.252709340315073	0.266745745283929	0.24757162599392
Colubrina.arborescens..12.	0.556454692031615	0.353063682805062	0.346318004607478	0.344824678368982	0.341448828948829	0.388447303725082	0.324761153198653	0.375189878818911	0.386247453526865	0.490335062283881	0.429310859444788	0	0.388713111507229	0.321025429095049	0.63294470435726	0.505696997295358	0.511129593999964	0.534571698606786	0.654253963136942	0.358231343416529	0.360664594120476	0.542177987356559	0.266632996632997	0.22344856612098	0.317678203499099	0.331112592240641	0.20956228956229	0.269339225589226	0.371803350970018	0.411565086307354	0.479725270422945	0.399120437175993	0.372405552702163	0.433331858567708	0.483411674500783	0.39464886964887	0.443075618338776	0.306116221741222	0.421701539201539	0.322952741702742	0.364505651755652	0.419854497354497	0.43670297484073	0.383191377047309	0.353261592623295	0.631923230508136	0.334839759382442	0.35667637466418	0.241289473942535	0.305325488781371	0.317901410758554	0.321165997878327	0.365631931894068	0.332805521198378	0.277270356143596	0.315438612313612	0.388216387281808	0.494201313732564	0.443444442565536	0.453371759528476	0.283065025252525	0.616984969289117	0.447024310565977	0.561586472276127	0.552800122762809	0.448554768753444	0.445247550018542	0.549000689000689	0.527454097002969	0.483212699436104	0.563089671932467
Colubrina.asiatica..13.	0.264519048908189	0.338828788220269	0.321542418136845	0.363236229794309	0.370279992338816	0.389918560016599	0.323974770463741	0.406466421694126	0.373406862745098	0.467718495972317	0.110688094682317	0.388713111507229	0	0.117742399350739	0.357968207213129	0.229450158934248	0.187659508247744	0.223587631933865	0.351993298501434	0.146981735080864	0.182386009959539	0.285493141701125	0.309594332682568	0.275720671410327	0.39310456355013	0.183663878830665	0.312864853011912	0.317938665365136	0.436429302360675	0.372578177892004	0.490725902764206	0.41542328042328	0.388868711326338	0.402455825097334	0.500597857404788	0.420330784089122	0.446480130063721	0.332528983815748	0.409473304473304	0.178350734233087	0.372245487083722	0.445873864697394	0.427267573696145	0.416327208849641	0.518829009145029	0.406570814908773	0.340581849270874	0.378725338373832	0.358275294244682	0.37302559912854	0.380290620521713	0.390064069767938	0.431956115779645	0.357585534213685	0.276478095150423	0.35201687156344	0.435325313926193	0.224913680750078	0.167757237443589	0.214327986584352	0.302937042872705	0.322182295857411	0.171301591624304	0.295419819268704	0.252334499305527	0.177884880957534	0.191738951729971	0.259567740008917	0.236892447037294	0.23249216944461	0.246054358181895
Colubrina.pubescens..14.	0.345858701506219	0.28538830343719	0.272108118397259	0.295157725537472	0.310577116273319	0.326731483341891	0.290522905364677	0.346883081529876	0.320881052843078	0.432654205407868	0.208390516016533	0.321025429095049	0.117742399350739	0	0.438650629217269	0.311443541932233	0.291297375333944	0.312851558690444	0.459548561681608	0.108388246427393	0.182655435591958	0.364033446712018	0.230978135788262	0.202331067739186	0.319725063651004	0.152290077037298	0.233845142199573	0.226036700641131	0.424818407096888	0.353244253462836	0.467181126203793	0.400923805058826	0.374130321512857	0.380468741114788	0.486080723804749	0.390131745203192	0.415366263760667	0.287286974628747	0.383953641295413	0.156627341833038	0.3446742013261	0.420893473614993	0.399662529267283	0.390867992766727	0.456714557175774	0.468014707276112	0.280459412076038	0.308686175921434	0.271268395845378	0.305955926674467	0.325758047457867	0.327193583635408	0.39671488848704	0.303569634604897	0.210435184949359	0.266357466568437	0.398462084467053	0.290345293209877	0.22639738500226	0.277173280673186	0.215221738748242	0.428422830272711	0.235692867747193	0.369285211975085	0.332038621439717	0.231919062788163	0.232907883899526	0.341864753541969	0.31273778554282	0.297063192814607	0.335225695404099
Colubrina.spinosa..15.	0.136742391696686	0.620062018158121	0.614261597566412	0.668075051064493	0.682682566146692	0.68365189429589	0.598971612748238	0.68577303745646	0.686869076230392	0.742009217737917	0.326753286329479	0.63294470435726	0.357968207213129	0.438650629217269	0	0.202554568961795	0.219674316699313	0.170153658103072	0.0675612067490228	0.425391794504068	0.442198985972067	0.152027025309376	0.624625919670763	0.59001465928364	0.709765633714834	0.421942766953294	0.614540245504371	0.64150188895144	0.709987248813856	0.683209411390032	0.74527327112581	0.6953485024636	0.658237331567118	0.683023518090994	0.770799390957673	0.688091899265677	0.730180102723176	0.63399641433554	0.699861313325439	0.438485323014471	0.636489376468076	0.683681999365856	0.726479769785343	0.700872521236206	0.747067369071472	0.112478394352918	0.61721957686425	0.687007689984011	0.649105136395792	0.687416547336423	0.693716439087996	0.677268869134156	0.722366637020083	0.681461928318911	0.603375885607617	0.680705205392238	0.720377793211077	0.218661279025395	0.365339594065859	0.352626216026423	0.574681527599829	0.143234795726478	0.331904084711447	0.168261466640158	0.202042429499594	0.338786114729007	0.357238120775758	0.210075613730322	0.216379473668155	0.341569760397878	0.207225226367725
Gouania.hypoglauca..19.	0.105903071287687	0.442012122354124	0.434944259555994	0.477269744101556	0.492797760830548	0.506092847987201	0.42220506440281	0.513523960615447	0.501281965427337	0.575551263059331	0.233604175960001	0.505696997295358	0.229450158934248	0.311443541932233	0.202554568961795	0	0.125898539271338	0.130192379095888	0.222273905027655	0.26114801482895	0.256611875169011	0.101578984052637	0.431646500130107	0.397287051244089	0.518199449668131	0.243641630649328	0.430260035956757	0.455914778148385	0.524953838410123	0.492882594139566	0.574559150131014	0.522516986150866	0.471159316741423	0.510350109731489	0.609447130310221	0.513264745648132	0.549600401276415	0.44950921687602	0.524787926099402	0.24481130587688	0.470965977101223	0.531592624133608	0.551129140180662	0.52333419336059	0.571033476173867	0.201327149583413	0.449691908950705	0.499706466619701	0.48540037014025	0.500800251794707	0.512444525939842	0.507995813416316	0.537485157732253	0.492888198084334	0.413348991948045	0.494088909850522	0.540608759463134	0.11512433772082	0.196853222376724	0.191641713369142	0.396380391295863	0.250204618247793	0.175610507560644	0.124681978877852	0.127441118632702	0.19563097866078	0.244942971557288	0.126784272562961	0.0592687563952817	0.183571539300524	0.159183770866783
