CF_directparent	0_Organic compounds	1_Alkaloids and derivatives;Organoheterocyclic compounds	1_Alkaloids and derivatives;Phenylpropanoids and polyketides	1_Benzenoids	1_Lignans, neolignans and related compounds	1_Lignans, neolignans and related compounds;Lipids and lipid-like molecules	1_Lipids and lipid-like molecules	1_Lipids and lipid-like molecules;Organoheterocyclic compounds	1_Organic acids and derivatives	1_Organic acids and derivatives;Phenylpropanoids and polyketides	1_Organic oxygen compounds	1_Organic oxygen compounds;Organoheterocyclic compounds	1_Organoheterocyclic compounds	1_Organoheterocyclic compounds;Phenylpropanoids and polyketides	1_Phenylpropanoids and polyketides	2_Anthracenes	2_Benzene and substituted derivatives	2_Benzene and substituted derivatives;Carboxylic acids and derivatives;Peptidomimetics	2_Benzene and substituted derivatives;Phenols	2_Benzofurans	2_Benzopyrans	2_Benzopyrans;Naphthofurans	2_Carboxylic acids and derivatives	2_Carboxylic acids and derivatives;Diarylheptanoids;Peptidomimetics	2_Carboxylic acids and derivatives;Glycerophospholipids	2_Carboxylic acids and derivatives;Peptidomimetics;Steroids and steroid derivatives	2_Cinnamic acids and derivatives	2_Coumarins and derivatives	2_Fatty Acyls	2_Flavonoids	2_Flavonoids;Isoflavonoids	2_Glycerophospholipids	2_Harmala alkaloids;Piperidines	2_Indoles and derivatives	2_Indoles and derivatives;Prenol lipids	2_Isoflavonoids	2_Lignan glycosides	2_Linear 1,3-diarylpropanoids	2_Macrolides and analogues	2_Macrolides and analogues;Peptidomimetics	2_Macrolides and analogues;Protoberberine alkaloids and derivatives	2_Organooxygen compounds	2_Peptidomimetics	2_Prenol lipids	2_Prenol lipids;Steroids and steroid derivatives	2_Steroids and steroid derivatives	2_Tannins	3_1-benzopyrans	3_1-benzopyrans;Amino acids, peptides, and analogues;none	3_Amino acids, peptides, and analogues	3_Amino acids, peptides, and analogues;Depsipeptides;Steroidal glycosides	3_Amino acids, peptides, and analogues;Hybrid peptides;Linear diarylheptanoids	3_Amino acids, peptides, and analogues;Steroidal glycosides	3_Anthracenecarboxylic acids and derivatives;Anthraquinones	3_Anthraquinones	3_Benzenediols;Diphenylethers;none	3_Benzenesulfonic acids and derivatives	3_Benzoic acids and derivatives	3_Benzyl alcohols;Depsipeptides	3_Benzylpiperidines;none	3_Biflavonoids and polyflavonoids	3_Biphenyls and derivatives;none	3_Carbohydrates and carbohydrate conjugates	3_Chalcones and dihydrochalcones	3_Coumarin glycosides	3_Fatty acids and conjugates	3_Flavans	3_Flavans;N-phenylureas	3_Flavones	3_Flavonoid glycosides	3_Furanocoumarins	3_Furanoisoflavonoids	3_Glycerophosphoinositol phosphates	3_Glycosylglycerols	3_Hybrid peptides	3_Hybrid peptides;none	3_Hydrolyzable tannins	3_Hydroxycinnamic acids and derivatives	3_Linear diarylheptanoids;none;Sesquiterpenoids;Sesterterpenoids;Triterpenoids	3_Lineolic acids and derivatives	3_O-methylated flavonoids	3_Pyrroloindoles	3_Sesquiterpenoids;Terpene glycosides	3_Steroidal alkaloids	3_Steroidal glycosides	3_Steroidal glycosides;Terpene glycosides	3_Steroidal glycosides;Triterpenoids	3_Terpene glycosides	3_Triterpenoids	3_none	3_none;Triterpenoids
4-benzylpiperidines;Harmala alkaloids	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protoberberine alkaloids and derivatives;Zearalenones	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Anthracenecarboxylic acids;Hydroxyanthraquinones	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anthraquinones	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydroxyanthraquinones	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Benzenesulfonate esters	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galloyl esters	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diphenylethers;Stilbenes	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lignan glycosides	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Phosphatidylinositol-3,4,5-trisphosphates	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Long-chain fatty acids	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lineolic acids and derivatives	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Phosphatidylinositol-4,5-bisphosphates	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beta carbolines;Carbazoles;Cholesteryl esters;Ecdysteroids;Ibogan-type alkaloids;Limonoids;Macroline alkaloids;Sesquaterpenoids;Triterpenoids;Tryptamines and derivatives	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Macrolides and analogues	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Iridoid O-glycosides	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indolonaphthyridine alkaloids;Saccharolipids	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cyclic peptides	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steroidal saponins	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-phenylureas	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curcuminoids;Limonoids;Sesterterpenoids	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Agarofurans;Terpene glycosides	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cucurbitacin glycosides	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Diterpene glycosides	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
