874,Subcluster1
567,Subcluster1
417,Subcluster1
304,Subcluster1
2168,Subcluster1
202,Subcluster1
1896,Subcluster1
18,Subcluster1
1638,Subcluster1
1580,Subcluster1
1529,Subcluster1
1405,Subcluster1
1278,Subcluster1
1262,Subcluster1
1235,Subcluster1
1177,Subcluster1
1061,Subcluster1
10,Subcluster1
151,Subcluster2
765,Subcluster2
543,Subcluster2
818,Subcluster2
875,Subcluster2
231,Subcluster2
1020,Subcluster2
537,Subcluster2
1917,Subcluster2
1444,Subcluster2
968,Subcluster2
816,Subcluster3
604,Subcluster3
1780,Subcluster3
1657,Subcluster3
1150,Subcluster3
19,Subcluster4
209,Subcluster4