id	Alphitonia philippinensis (1)	Berchemia floribunda (2)	Berchemia giraldiana (3)	Berchemia hirtella (4)	Berchemia huana (5)	Berchemia kulingensis (6)	Berchemia lineata (7)	Berchemia loureiroana (8)	Berchemia sinica (9)	Berchemia yunnanensis (10)	Ceanothus asiaticus (11)	Colubrina arborescens (12)	Colubrina asiatica (13)	Colubrina pubescens (14)	Colubrina spinosa (15)	Gouania hypoglauca (19)	Gouania leptostachya (16)	Gouania leptostachya (18)	Gouania polygama (20)	Guoania javanica (17)	Hovenia acerba (21)	Hovenia acerba var. kiukiangensis (22)	Karwinskia calderonii (23)	Krugiodendron ferreum (24)	Paliurus perforatus (25)	Rhamnella franguloides (26)	Rhamnella tonkinensis (27)	Rhamnus crenata (28)	Rhamnus davurica (29)	Rhamnus diamantiaca (30)	Rhamnus erythroxylon (31)	Rhamnus globosa (32)	Rhamnus hainanensis (33)	Rhamnus koraiensis (34)	Rhamnus leptophylla (35)	Rhamnus longipes (36)	Rhamnus napalensis (37)	Rhamnus oreodendron (38)	Rhamnus parvifolia (39)	Rhamnus rosthornii (40)	Rhamnus sphaerosperma (41)	Rhamnus subapetala (42)	Rhamnus utilis (43)	Sageretia pauciflora (44)	Sageretia thea (45)	Scutia eberhardtia (46)	Scutia myrtina (47)	Ventilago calyculata (48)	Ventilago calyculata var. trichoclada (49)	Ventilago cristata (50)	Ventilago denticulate (51)	Ventilago inaequilateralis (52)	Ventilago leiocarpa (53)	Ventilago leiocarpa var. pubescens (54)	Ventilago maderaspatana (55)	Ventilago oblongifolia (56)	Ventilago pauciflora (57)	Ziziphus apetala (58)	Ziziphus attopensis (59)	Ziziphus cambodiana (60)	Ziziphus funiculosa (61)	Ziziphus guatemalensis (62)	Ziziphus horsfieldii (63)	Ziziphus incurva (64)	Ziziphus mauritiana (65)	Ziziphus oenopolia (66)	Ziziphus poilaneo (67)	Ziziphus rotundifolia (68)	Ziziphus rugosa (69)	Ziziphus rugosa var. harmandii (70)	Ziziphus thyrsiflora (71)
Triterpenoids	90.0	6.0	7.0	3.0	2.0	4.0	6.0	3.0	4.0	2.0	17.0	0.0	18.0	10.0	135.0	66.0	53.0	72.0	121.0	20.0	29.0	85.0	5.0	6.0	0.0	23.0	4.0	3.0	4.0	5.0	4.0	9.0	10.0	6.0	1.0	5.0	2.0	9.0	5.0	17.0	13.0	10.0	2.0	5.0	0.0	75.0	3.0	4.0	3.0	3.0	4.0	4.0	2.0	5.0	8.0	3.0	1.0	73.0	46.0	45.0	7.0	81.0	35.0	84.0	86.0	57.0	39.0	75.0	70.0	34.0	92.0
Steroidal glycosides;Triterpenoids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Terpene glycosides	21.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	26.0	3.0	21.0	11.0	33.0	4.0	33.0	29.0	54.0	6.0	2.0	3.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	5.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	5.0	2.0	8.0	3.0	64.0	5.0	3.0	25.0	9.0	15.0	21.0	3.0	3.0	39.0
none	3.0	5.0	6.0	6.0	4.0	7.0	0.0	5.0	8.0	8.0	4.0	0.0	8.0	8.0	1.0	2.0	2.0	7.0	3.0	5.0	3.0	3.0	1.0	2.0	2.0	2.0	2.0	6.0	3.0	7.0	8.0	9.0	7.0	9.0	8.0	6.0	3.0	7.0	7.0	3.0	4.0	6.0	6.0	9.0	0.0	3.0	2.0	13.0	2.0	4.0	11.0	7.0	7.0	6.0	4.0	7.0	11.0	6.0	4.0	3.0	0.0	11.0	2.0	5.0	5.0	9.0	8.0	2.0	7.0	3.0	28.0
Flavonoid glycosides	24.0	32.0	35.0	24.0	29.0	31.0	25.0	38.0	43.0	76.0	11.0	2.0	14.0	11.0	12.0	15.0	25.0	22.0	6.0	17.0	26.0	17.0	13.0	10.0	23.0	17.0	10.0	19.0	39.0	40.0	71.0	59.0	46.0	49.0	56.0	41.0	49.0	26.0	52.0	12.0	39.0	48.0	48.0	56.0	22.0	1.0	28.0	30.0	9.0	23.0	30.0	26.0	45.0	32.0	21.0	21.0	49.0	22.0	29.0	33.0	18.0	17.0	25.0	14.0	38.0	36.0	38.0	35.0	21.0	21.0	35.0
Hydrolyzable tannins	0.0	2.0	3.0	2.0	0.0	3.0	0.0	2.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	6.0	5.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	2.0	1.0	1.0	1.0	2.0	0.0	2.0	3.0	2.0	2.0	3.0	3.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	1.0	1.0
Amino acids, peptides, and analogues;Hybrid peptides;Linear diarylheptanoids	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0
Anthraquinones	2.0	4.0	4.0	4.0	3.0	3.0	5.0	5.0	5.0	5.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	10.0	3.0	9.0	14.0	14.0	5.0	6.0	8.0	5.0	8.0	5.0	2.0	8.0	14.0	5.0	8.0	2.0	2.0	2.0	4.0	2.0	8.0	9.0	7.0	11.0	5.0	3.0	4.0	8.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
Amino acids, peptides, and analogues	0.0	5.0	4.0	3.0	0.0	0.0	11.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	11.0	8.0	0.0	0.0	6.0	6.0	6.0	0.0	0.0	8.0	3.0	5.0	1.0
O-methylated flavonoids	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycosylglycerols	1.0	3.0	3.0	2.0	4.0	2.0	4.0	3.0	3.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	1.0	3.0	2.0	1.0	1.0	2.0	3.0	3.0	4.0	2.0	3.0	0.0	2.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	4.0	0.0	2.0	1.0	3.0	3.0	3.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	3.0	1.0	3.0	1.0	3.0	3.0	4.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
Steroidal glycosides	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	9.0	9.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	7.0	0.0	1.0	10.0	0.0	0.0	1.0
Furanocoumarins	3.0	3.0	3.0	4.0	3.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	2.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	3.0	4.0	5.0	3.0	4.0	3.0	2.0	4.0	4.0	5.0	5.0	2.0	5.0	4.0	4.0	3.0	1.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	3.0	3.0	3.0	5.0	4.0	4.0	5.0	2.0	5.0
Glycerophosphoinositol phosphates	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Flavones	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Flavans	1.0	2.0	2.0	5.0	4.0	4.0	0.0	4.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	3.0	2.0	1.0	1.0	0.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	1.0	2.0	1.0	1.0	2.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	2.0	3.0	1.0	0.0	2.0	3.0	3.0	1.0	1.0	4.0	2.0	2.0	0.0	4.0	1.0	0.0	0.0	2.0	3.0	3.0	1.0	1.0	2.0	1.0	0.0
Benzyl alcohols;Depsipeptides	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0
Carbohydrates and carbohydrate conjugates	5.0	13.0	14.0	10.0	12.0	10.0	13.0	13.0	12.0	13.0	14.0	6.0	12.0	10.0	6.0	5.0	9.0	8.0	6.0	10.0	12.0	5.0	9.0	9.0	11.0	9.0	10.0	12.0	12.0	18.0	13.0	19.0	14.0	17.0	14.0	16.0	14.0	16.0	20.0	8.0	19.0	14.0	14.0	14.0	2.0	2.0	15.0	8.0	12.0	7.0	13.0	7.0	15.0	12.0	10.0	12.0	13.0	8.0	13.0	9.0	7.0	6.0	9.0	5.0	9.0	13.0	10.0	7.0	1.0	4.0	14.0
Steroidal alkaloids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
